lenguaje,n,algoritmo,escenario,repeticion,clave,posicion_origen,posicion,comparaciones,tiempo_ns
Python,100,lineal,final,27,16968,99,99,100,2484
Python,100,binaria,inicio,17,12838,0,8,5,460
Python,100,binaria,final,5,16968,99,80,4,371
Python,100,binaria,ausente,7,18236,-1,-1,7,621
Python,100,lineal,inicio,7,12838,0,0,1,221
Python,100,binaria,inicio,10,12838,0,8,5,420
Python,100,lineal,final,22,16968,99,99,100,2524
Python,100,lineal,final,1,16968,99,99,100,2504
Python,100,binaria,final,25,16968,99,80,4,421
Python,100,binaria,ausente,22,18236,-1,-1,7,551
Python,100,lineal,ausente,13,18236,-1,-1,100,2504
Python,100,binaria,centro,10,17329,50,83,5,501
Python,100,lineal,ausente,19,18236,-1,-1,100,2464
Python,100,binaria,inicio,14,12838,0,8,5,421
Python,100,lineal,inicio,29,12838,0,0,1,210
Python,100,binaria,final,18,16968,99,80,4,410
Python,100,lineal,inicio,22,12838,0,0,1,211
Python,100,binaria,inicio,29,12838,0,8,5,441
Python,100,lineal,centro,11,17329,50,50,51,1362
Python,100,lineal,final,10,16968,99,99,100,2463
Python,100,binaria,inicio,22,12838,0,8,5,461
Python,100,lineal,ausente,7,18236,-1,-1,100,2504
Python,100,binaria,final,20,16968,99,80,4,381
Python,100,lineal,final,14,16968,99,99,100,2484
Python,100,lineal,inicio,12,12838,0,0,1,210
Python,100,binaria,final,4,16968,99,80,4,371
Python,100,binaria,inicio,2,12838,0,8,5,431
Python,100,binaria,final,11,16968,99,80,4,360
Python,100,lineal,inicio,13,12838,0,0,1,210
Python,100,binaria,centro,2,17329,50,83,5,451
Python,100,lineal,final,23,16968,99,99,100,2454
Python,100,lineal,ausente,11,18236,-1,-1,100,2474
Python,100,lineal,ausente,9,18236,-1,-1,100,2474
Python,100,lineal,final,24,16968,99,99,100,2464
Python,100,binaria,final,27,16968,99,80,4,410
Python,100,lineal,ausente,5,18236,-1,-1,100,2453
Python,100,lineal,ausente,14,18236,-1,-1,100,2584
Python,100,lineal,final,21,16968,99,99,100,2484
Python,100,lineal,inicio,18,12838,0,0,1,210
Python,100,binaria,inicio,24,12838,0,8,5,431
Python,100,lineal,centro,7,17329,50,50,51,1382
Python,100,lineal,inicio,10,12838,0,0,1,221
Python,100,lineal,inicio,6,12838,0,0,1,211
Python,100,lineal,inicio,16,12838,0,0,1,201
Python,100,binaria,final,13,16968,99,80,4,390
Python,100,binaria,centro,11,17329,50,83,5,430
Python,100,binaria,ausente,16,18236,-1,-1,7,601
Python,100,binaria,centro,8,17329,50,83,5,390
Python,100,lineal,ausente,25,18236,-1,-1,100,2474
Python,100,lineal,final,20,16968,99,99,100,2473
Python,100,lineal,centro,1,17329,50,50,51,1362
Python,100,lineal,final,8,16968,99,99,100,2484
Python,100,binaria,centro,22,17329,50,83,5,440
Python,100,lineal,centro,29,17329,50,50,51,1352
Python,100,binaria,ausente,25,18236,-1,-1,7,611
Python,100,lineal,final,4,16968,99,99,100,2463
Python,100,lineal,ausente,6,18236,-1,-1,100,2474
Python,100,binaria,final,7,16968,99,80,4,410
Python,100,binaria,ausente,2,18236,-1,-1,7,561
Python,100,lineal,ausente,1,18236,-1,-1,100,2463
Python,100,lineal,final,9,16968,99,99,100,2464
Python,100,lineal,centro,23,17329,50,50,51,1352
Python,100,lineal,ausente,28,18236,-1,-1,100,2484
Python,100,binaria,ausente,29,18236,-1,-1,7,621
Python,100,lineal,inicio,3,12838,0,0,1,220
Python,100,lineal,ausente,24,18236,-1,-1,100,2854
Python,100,binaria,inicio,23,12838,0,8,5,491
Python,100,lineal,inicio,4,12838,0,0,1,251
Python,100,lineal,centro,28,17329,50,50,51,1402
Python,100,binaria,final,6,16968,99,80,4,411
Python,100,lineal,final,18,16968,99,99,100,2514
Python,100,lineal,final,26,16968,99,99,100,2514
Python,100,binaria,final,3,16968,99,80,4,411
Python,100,lineal,ausente,16,18236,-1,-1,100,2464
Python,100,lineal,centro,24,17329,50,50,51,1352
Python,100,lineal,centro,14,17329,50,50,51,1362
Python,100,binaria,inicio,20,12838,0,8,5,490
Python,100,binaria,ausente,5,18236,-1,-1,7,631
Python,100,binaria,centro,20,17329,50,83,5,440
Python,100,lineal,inicio,11,12838,0,0,1,271
Python,100,lineal,final,13,16968,99,99,100,2494
Python,100,binaria,inicio,3,12838,0,8,5,521
Python,100,binaria,final,21,16968,99,80,4,421
Python,100,lineal,ausente,3,18236,-1,-1,100,2503
Python,100,binaria,ausente,23,18236,-1,-1,7,661
Python,100,binaria,final,14,16968,99,80,4,361
Python,100,binaria,inicio,4,12838,0,8,5,431
Python,100,lineal,centro,3,17329,50,50,51,1502
Python,100,binaria,centro,23,17329,50,83,5,431
Python,100,lineal,centro,10,17329,50,50,51,1362
Python,100,binaria,centro,29,17329,50,83,5,471
Python,100,lineal,inicio,15,12838,0,0,1,200
Python,100,lineal,inicio,23,12838,0,0,1,210
Python,100,binaria,final,26,16968,99,80,4,391
Python,100,lineal,final,19,16968,99,99,100,2494
Python,100,lineal,ausente,17,18236,-1,-1,100,2474
Python,100,lineal,final,3,16968,99,99,100,2464
Python,100,lineal,inicio,30,12838,0,0,1,210
Python,100,lineal,ausente,21,18236,-1,-1,100,2464
Python,100,lineal,inicio,26,12838,0,0,1,210
Python,100,binaria,ausente,21,18236,-1,-1,7,580
Python,100,lineal,inicio,25,12838,0,0,1,220
Python,100,binaria,ausente,15,18236,-1,-1,7,551
Python,100,binaria,ausente,10,18236,-1,-1,7,581
Python,100,binaria,inicio,6,12838,0,8,5,470
Python,100,lineal,final,29,16968,99,99,100,2464
Python,100,binaria,inicio,25,12838,0,8,5,441
Python,100,binaria,inicio,30,12838,0,8,5,411
Python,100,binaria,final,22,16968,99,80,4,381
Python,100,lineal,ausente,18,18236,-1,-1,100,2474
Python,100,lineal,inicio,19,12838,0,0,1,210
Python,100,binaria,ausente,1,18236,-1,-1,7,611
Python,100,binaria,final,30,16968,99,80,4,360
Python,100,lineal,centro,2,17329,50,50,51,1352
Python,100,binaria,inicio,26,12838,0,8,5,410
Python,100,binaria,inicio,8,12838,0,8,5,491
Python,100,binaria,final,8,16968,99,80,4,430
Python,100,lineal,final,2,16968,99,99,100,2464
Python,100,lineal,centro,17,17329,50,50,51,1342
Python,100,binaria,ausente,14,18236,-1,-1,7,621
Python,100,binaria,final,23,16968,99,80,4,411
Python,100,binaria,ausente,3,18236,-1,-1,7,600
Python,100,binaria,ausente,20,18236,-1,-1,7,561
Python,100,binaria,final,19,16968,99,80,4,370
Python,100,lineal,inicio,21,12838,0,0,1,200
Python,100,lineal,inicio,5,12838,0,0,1,210
Python,100,binaria,centro,16,17329,50,83,5,471
Python,100,binaria,ausente,9,18236,-1,-1,7,601
Python,100,binaria,inicio,5,12838,0,8,5,461
Python,100,lineal,final,5,16968,99,99,100,2474
Python,100,lineal,inicio,8,12838,0,0,1,210
Python,100,lineal,ausente,29,18236,-1,-1,100,2493
Python,100,binaria,centro,14,17329,50,83,5,471
Python,100,lineal,inicio,20,12838,0,0,1,200
Python,100,binaria,final,17,16968,99,80,4,380
Python,1000,lineal,inicio,22,13405,0,0,1,441
Python,1000,lineal,final,17,15130,999,999,1000,98657
Python,1000,binaria,ausente,27,18288,-1,-1,10,2013
Python,1000,lineal,centro,6,14665,500,500,501,15623
Python,1000,binaria,inicio,19,13405,0,187,9,1522
Python,1000,lineal,centro,15,14665,500,500,501,26720
Python,1000,binaria,centro,6,14665,500,406,9,1442
Python,1000,binaria,final,17,15130,999,502,8,1092
Python,1000,lineal,inicio,23,13405,0,0,1,360
Python,1000,lineal,final,13,15130,999,999,1000,35212
Python,1000,binaria,centro,18,14665,500,406,9,1082
Python,1000,binaria,ausente,5,18288,-1,-1,10,1182
Python,1000,binaria,inicio,8,13405,0,187,9,921
Python,1000,binaria,centro,29,14665,500,406,9,912
Python,1000,lineal,inicio,1,13405,0,0,1,220
Python,1000,binaria,ausente,11,18288,-1,-1,10,1072
Python,1000,binaria,final,24,15130,999,502,8,831
Python,1000,binaria,ausente,12,18288,-1,-1,10,1092
Python,1000,lineal,ausente,4,18288,-1,-1,1000,35102
Python,1000,binaria,final,15,15130,999,502,8,942
Python,1000,binaria,ausente,21,18288,-1,-1,10,1092
Python,1000,binaria,final,13,15130,999,502,8,851
Python,1000,lineal,ausente,20,18288,-1,-1,1000,35042
Python,1000,binaria,inicio,28,13405,0,187,9,1051
Python,1000,binaria,inicio,15,13405,0,187,9,861
Python,1000,lineal,final,19,15130,999,999,1000,35123
Python,1000,binaria,ausente,14,18288,-1,-1,10,1071
Python,1000,lineal,inicio,15,13405,0,0,1,210
Python,1000,binaria,inicio,1,13405,0,187,9,751
Python,1000,lineal,ausente,1,18288,-1,-1,1000,35032
Python,1000,binaria,ausente,17,18288,-1,-1,10,1072
Python,1000,lineal,centro,13,14665,500,500,501,15182
Python,1000,lineal,final,11,15130,999,999,1000,34862
Python,1000,binaria,centro,20,14665,500,406,9,1052
Python,1000,lineal,inicio,6,13405,0,0,1,230
Python,1000,lineal,ausente,19,18288,-1,-1,1000,35182
Python,1000,binaria,ausente,9,18288,-1,-1,10,1051
Python,1000,binaria,final,3,15130,999,502,8,852
Python,1000,binaria,inicio,23,13405,0,187,9,862
Python,1000,binaria,centro,4,14665,500,406,9,931
Python,1000,lineal,centro,4,14665,500,500,501,15393
Python,1000,lineal,centro,8,14665,500,500,501,15333
Python,1000,lineal,inicio,7,13405,0,0,1,250
Python,1000,binaria,final,26,15130,999,502,8,871
Python,1000,lineal,centro,19,14665,500,500,501,15283
Python,1000,lineal,final,26,15130,999,999,1000,34952
